,Unnamed: 0,Star_name,Distance,Mass,Radius,Luminosity,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
0,0,Sun,0.000015813,1,1,1,11 Com,b,11 com b,Radial Velocity,0,1,326.03,0.32,-0.32,0.0,1.29,0.05,-0.05,0.0,0.231,0.0,,,,,19.4,1.5,-1.5,0.0,Msini,,,,,,,,,0,0,0,0,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,93.37,1.92,-1.92,0,93.37,1.92,-1.92,0.0,4.74,,0.0,V (Johnson),4.372,,0.0,4742.0,100.0,-100.0,0.0,2.7,0.3,-0.3,0.0,19.0,2.0,-2.0,0.0,2014-05-14,Xinglong Station
1,1,Sirius,0008.6,2.1,1.71,25.4,11 UMi,b,11 umi b,Radial Velocity,0,1,516.21997,3.2,-3.2,0.0,1.53,0.07,-0.07,0.0,0.08,0.0,,,,,14.74,2.5,-2.5,0.0,Msini,,,,,,,,,0,0,0,0,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,125.72,1.97,-1.97,0,125.72,1.97,-1.97,0.0,5.016,0.009,0.0,V (Johnson),4.5,,0.0,4213.0,46.0,-46.0,0.0,2.78,0.69,-0.69,0.0,29.79,2.84,-2.84,0.0,2018-09-06,Thueringer Landessternwarte Tautenburg
2,2,Canopus,0310,15,71,"13,500",14 And,b,14 and b,Radial Velocity,0,1,185.84,0.23,-0.23,0.0,0.83,,,0.0,0.0,0.0,,,,,4.8,,,0.0,Msini,,,,,,,,,0,0,0,0,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,75.59,0.71,-0.71,0,75.59,0.71,-0.71,0.0,5.227,0.009,0.0,V (Johnson),4.872,,0.0,4813.0,20.0,-20.0,0.0,2.2,0.1,-0.2,0.0,11.0,1.0,-1.0,0.0,2014-05-14,Okayama Astrophysical Observatory
3,3,Alpha Centauri,0004.4,1.1,1.2,2,14 Her,b,14 her b,Radial Velocity,0,1,1773.40002,2.5,-2.5,0.0,2.93,0.08,-0.08,0.0,0.37,0.0,,,,,4.66,0.15,-0.15,0.0,Msini,,,,,,,,,0,0,0,0,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,17.94,0.01,-0.01,0,17.94,0.01,-0.01,0.0,6.61,0.02,0.0,V (Johnson),6.379,,0.0,5338.0,25.0,-25.0,0.0,0.9,0.04,-0.04,0.0,0.93,0.01,-0.01,0.0,2018-09-06,W. M. Keck Observatory
4,4,Arcturus,0037,1.1,26,170,16 Cyg B,b,16 cyg b b,Radial Velocity,0,1,798.5,1.0,-1.0,0.0,1.66,0.03,-0.03,0.0,0.68,0.0,,,,,1.78,0.08,-0.08,0.0,Msini,,,,,,,,,0,0,0,0,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.15,0.01,-0.01,0,21.15,0.01,-0.01,0.0,6.25,,0.0,V (Johnson),6.057,,0.0,5750.0,8.0,-8.0,0.0,1.08,0.04,-0.04,0.0,1.13,0.01,-0.01,0.0,2018-09-06,Multiple Observatories
5,5,Vega,0025,2.2,2.7,50,18 Del,b,18 del b,Radial Velocity,0,1,993.3,3.2,-3.2,0.0,2.6,,,0.0,0.08,0.0,,,,,10.3,,,0.0,Msini,,,,,,,,,0,0,0,0,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,76.38,0.62,-0.62,0,76.38,0.62,-0.62,0.0,5.506,0.009,0.0,V (Johnson),5.244,,0.0,4979.0,18.0,-18.0,0.0,2.3,,,0.0,8.5,,,0.0,2014-05-14,Okayama Astrophysical Observatory
6,6,Capella,0043,2.6,12,150,1RXS J160929.1-210524,b,1rxs j160929.1-210524 b,Imaging,0,1,,,,,330.0,,,0.0,,,,,,,8.0,1.0,-1.0,0.0,Mass,,,,,,,,,0,0,0,0,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,145.0,14.0,-14.0,0,139.67,1.32,-1.32,0.0,,,,,12.057,,0.0,4060.0,300.0,-200.0,0.0,0.85,0.2,-0.1,0.0,,,,,2015-04-01,Gemini Observatory
7,7,Rigel,0860,23,78.9,"120,000",24 Boo,b,24 boo b,Radial Velocity,0,1,30.3506,0.0078,-0.0077,0.0,0.19,0.012,-0.009,0.0,0.042,0.0,,,,,0.91,0.13,-0.1,0.0,Msini,,,,,,,,,0,0,0,0,14h28m37.81s,217.157547,+49d50m41.5s,49.844852,96.25,0.64,-0.64,0,96.25,0.64,-0.64,0.0,5.58,,0.0,V (Johnson),5.305,,0.0,4893.0,15.0,-15.0,0.0,0.99,0.19,-0.13,0.0,10.64,0.84,-0.59,0.0,2018-04-26,Okayama Astrophysical Observatory
8,8,Procyon,0011.4,1.5,1.9,7.7,24 Sex,b,24 sex b,Radial Velocity,0,2,452.8,2.1,-4.5,0.0,1.333,0.004,-0.009,0.0,0.09,0.0,,,,,1.99,0.26,-0.38,0.0,Msini,,,,,,,,,0,0,0,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,72.21,0.68,-0.68,0,72.21,0.68,-0.68,0.0,6.441,0.01,0.0,V (Johnson),6.198,,0.0,5098.0,44.0,-44.0,0.0,1.54,0.08,-0.08,0.0,4.9,0.08,-0.08,0.0,2014-05-14,Lick Observatory
9,9,Betelgeuse,0640[1],20,950,"60,000",24 Sex,c,24 sex c,Radial Velocity,0,2,883.0,32.4,-13.8,0.0,2.08,0.05,-0.02,0.0,0.29,0.0,,,,,0.86,0.35,-0.22,0.0,Msini,,,,,,,,,0,0,0,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,72.21,0.68,-0.68,0,72.21,0.68,-0.68,0.0,6.441,0.01,0.0,V (Johnson),6.198,,0.0,5098.0,44.0,-44.0,0.0,1.54,0.08,-0.08,0.0,4.9,0.08,-0.08,0.0,2014-05-14,Lick Observatory
